id,name,batch,gotJob,salary,email,state,dob,gender
1,Arif,B-16,true,120000,arif@gmail.com,NY,17=06=1987,M
2,Abdul,B-16,Unknown,0,idul@yahoo.com,NY,18=06=1992,M
3,Fabiha,B-16,true,110000,fabiha@aol.com,TX,19=06=1998,F
4,Nimia,B-16,Unknown,0,nimia@gmail.com,NY,20=06=1999,F
5,Shakil,B-16,true,100000,shakil@yahoo.com,NJ,21=06=1997,M
6,Md.Haque,B-16,Unknown,0,haque@yahoo.com,CT,22=06=1991,M
7,Hasan,B-16,true,130000,hasan@aol.com,NY,23=06=1983,M
8,Taifa,B-16,true,120000,taifa@gmail.com,CT,24=06=1986,F
9,Lucky,B-16,Unknown,0,lucky@gmail.com,NY,25=06=1980,F
10,Akbar,B-16,true,120000,akbar@yahoo.com,VI,26=06=1987,M
11,Hira,B-16,Unknown,0,hira@gmail.com,NY,27=06=1984,M
12,Parvez,B-16,Unknown,0,parvez@aol.com,NY,28=06=1987,M
13,NurunNahar,B-16,Unknown,0,nurun@gmail.com,NY,29=06=1989,F
14,Adnan,B-17,Unknown,0,adnan@yandex.com,FL,30=06=1985,M
15,Araf,B-17,Unknown,0,araf@gmail.com,NY,31=10=1987,M
16,Raj,B-17,true,120000,raj@yahoo.com,TX,02=07=1987,M
17,Suresh,B-17,Unknown,0,suresh@gmail.com,TX,03=07=1988,M
18,Sadat,B-17,Unknown,0,sadat@aol.com,FL,04=07=1984,M
19,Masnoon,B-17,Unknown,0,masnoon@gmail.com,NJ,05=07=1981,M
20,Ahad,B-17,true,1400000,ahad@yahoo.com,NY,06=07=1997,M
21,Faruk,B-17,Unknown,0,faruk@gmail.com,NY,07=07=1983,M
22,Jamal,B-17,true,110000,jamal@yahoo.com,FL,08=07=1989,M
23,Haque,B-17,true,130000,haque@gmail.com,CT,09=07=1987,M
24,Anto,B-17,Unknown,0,anto@yahoo.com,CT,10=07=2000,F
